,base_market,quote_market,hedge_ratio,half_life
35,ZEC-USD,LTC-USD,0.2731886129671903,8.0
36,AAVE-USD,ETC-USD,3.3595840718930434,15.0
37,AAVE-USD,LINK-USD,6.334529303241466,15.0
38,AAVE-USD,YFI-USD,0.012964944725451772,18.0
39,AAVE-USD,COMP-USD,1.6187496113053403,11.0
40,AAVE-USD,MATIC-USD,127.83560328056271,15.0
41,AAVE-USD,DOT-USD,13.147351758830393,17.0
42,AAVE-USD,CELO-USD,110.11389121983382,9.0
43,AAVE-USD,1INCH-USD,212.6511807461041,10.0
44,AAVE-USD,ADA-USD,189.99281480958106,16.0
45,AAVE-USD,ENJ-USD,269.18166574872197,6.0
46,AAVE-USD,EOS-USD,111.30241387215882,12.0
47,AAVE-USD,ATOM-USD,10.711987817886362,12.0
48,ETC-USD,XTZ-USD,26.43696847527014,6.0
49,ETC-USD,CRV-USD,59.57301526818603,17.0
50,ETC-USD,ENJ-USD,80.02250018326993,12.0
51,ETC-USD,SUSHI-USD,26.16081316858437,18.0
52,ETC-USD,ATOM-USD,3.187284204558097,7.0
53,XTZ-USD,BCH-USD,0.0020631528418009635,6.0
54,XTZ-USD,DOGE-USD,6.5242291073297665,7.0
55,XTZ-USD,MATIC-USD,1.4388880416803609,7.0
56,XTZ-USD,CRV-USD,2.2528565964357026,15.0
57,XTZ-USD,SUSHI-USD,0.9892741224931405,17.0
58,XTZ-USD,ETH-USD,0.0003303210014528678,22.0
59,LINK-USD,DOT-USD,2.075402915982968,9.0
60,LINK-USD,CELO-USD,17.367260439621433,9.0
61,LINK-USD,UNI-USD,1.8925021365433499,6.0
62,LINK-USD,XLM-USD,129.12036212503233,16.0
63,LINK-USD,EOS-USD,17.543560079294537,22.0
64,BCH-USD,DOGE-USD,3161.6517637267425,6.0
65,BCH-USD,CRV-USD,1091.447787575778,16.0
66,BCH-USD,ENJ-USD,1466.088953036377,13.0
67,BCH-USD,SUSHI-USD,479.21532758353936,19.0
68,BCH-USD,AVAX-USD,13.571500447432339,11.0
69,BCH-USD,SNX-USD,165.38689407915325,11.0
70,XMR-USD,BTC-USD,0.0018632079944640072,6.0
71,XMR-USD,ETH-USD,0.03821560502388788,6.0
72,YFI-USD,COMP-USD,124.65904428865323,15.0
73,YFI-USD,DOT-USD,1013.4467935219067,7.0
74,YFI-USD,CELO-USD,8478.079595970488,15.0
75,YFI-USD,ZRX-USD,13459.490484861142,14.0
76,YFI-USD,AVAX-USD,191.68781944354515,16.0
77,YFI-USD,UNI-USD,923.9195137202471,10.0
78,YFI-USD,ETH-USD,2.2626953705357273,11.0
79,RUNE-USD,FIL-USD,0.8676013519749146,16.0
80,RUNE-USD,ADA-USD,11.377668513695003,22.0
81,RUNE-USD,ENJ-USD,16.11603334589526,12.0
82,RUNE-USD,AVAX-USD,0.14908315939100752,19.0
83,DOGE-USD,CRV-USD,0.34522479813784734,20.0
84,DOGE-USD,BTC-USD,2.466042774500861e-06,23.0
85,DOGE-USD,ATOM-USD,0.018468306867496682,10.0
86,COMP-USD,DOT-USD,8.12398599540995,12.0
87,COMP-USD,CELO-USD,68.00369977875698,4.0
88,COMP-USD,ZRX-USD,107.95192841357758,7.0
89,COMP-USD,UNI-USD,7.408068470359339,10.0
90,COMP-USD,XLM-USD,505.3507342549236,18.0
91,ALGO-USD,UNI-USD,0.024532382227264875,14.0
92,FIL-USD,ADA-USD,13.114308613502448,16.0
93,FIL-USD,SNX-USD,2.0939849268274853,7.0
94,MATIC-USD,CRV-USD,1.5652747434317371,20.0
95,MATIC-USD,ENJ-USD,2.102734437635003,13.0
96,MATIC-USD,SUSHI-USD,0.6873981182760132,19.0
97,MATIC-USD,ETH-USD,0.0002295581639612461,24.0
98,MATIC-USD,EOS-USD,0.8694565784333641,24.0
99,MATIC-USD,ATOM-USD,0.08375169183435308,10.0
100,CRV-USD,ENJ-USD,1.343214218819415,4.0
101,CRV-USD,SUSHI-USD,0.43939196578187967,10.0
102,CRV-USD,AVAX-USD,0.012421469556695049,16.0
103,CRV-USD,SNX-USD,0.15139828955280266,8.0
104,CRV-USD,ATOM-USD,0.053448652513269516,12.0
105,DOT-USD,BTC-USD,0.00010876300592809524,18.0
106,DOT-USD,CELO-USD,8.366467218559213,9.0
107,DOT-USD,ADA-USD,14.447881117618888,5.0
108,DOT-USD,ZRX-USD,13.282584153614309,9.0
109,DOT-USD,AVAX-USD,0.1891698366601028,11.0
110,DOT-USD,UNI-USD,0.9116112749802033,9.0
111,BTC-USD,ADA-USD,132551.37648293082,22.0
112,BTC-USD,UNI-USD,8363.891964803066,19.0
113,BTC-USD,ETH-USD,20.5070058276644,8.0
114,CELO-USD,ADA-USD,1.7259712030295924,9.0
115,CELO-USD,UNI-USD,0.1089177235329641,8.0
116,CELO-USD,ETH-USD,0.00026644266294635654,21.0
117,CELO-USD,XLM-USD,7.4294705273917305,17.0
118,CELO-USD,EOS-USD,1.0099862614794257,18.0
119,1INCH-USD,EOS-USD,0.5233708339353149,8.0
120,ADA-USD,ZRX-USD,0.9192991511380324,7.0
121,ADA-USD,AVAX-USD,0.013092406400401168,8.0
122,ADA-USD,UNI-USD,0.06308279775231528,10.0
123,ENJ-USD,SUSHI-USD,0.32701256260062767,9.0
124,ENJ-USD,SNX-USD,0.11267739173747529,7.0
125,ENJ-USD,ETH-USD,0.00010886815302984035,22.0
126,ENJ-USD,EOS-USD,0.41332212036309335,11.0
127,ENJ-USD,ATOM-USD,0.03978123679841081,10.0
128,ZRX-USD,UNI-USD,0.06860389968707366,11.0
129,ZRX-USD,XLM-USD,4.680522862002045,18.0
130,SUSHI-USD,EOS-USD,1.2626125934671637,14.0
131,UNI-USD,ETH-USD,0.0024466300854731763,17.0
132,UNI-USD,XLM-USD,68.2130188765238,11.0
133,UNI-USD,ATOM-USD,0.8924210698521345,20.0
134,UNI-USD,LTC-USD,0.09240872526693146,12.0
